"ParcelID","Location","RM","BD","BA","34BA","HB","FP","Owned","NBC","Imp","Floor","Loc","Grade","Built","Price","Date","Area","Value","_Change","f0","Type","Nhood",
"13-136","175 MAIN ST","10","4","2","0","1","6","0.00%","3010","1","","False","4","1764","1","04/28/2008","3710","1089200","17.97","False","ANTIQUE","3010",
"13-137","179 MAIN ST","6","3","1","0","0","0","0.00%","3010","1","","False","3","1860","406000","07/28/2021","1256","580200","46.4","False","ANTIQUE","3010",
"13-139","187 MAIN ST","9","4","2","0","2","2","0.00%","3010","15","","False","5","1886","740000","12/08/2004","2955","988800","12.56","False","OLD STYLE","3010",
"13-14","4 JUNIPER STREET","8","3","3","0","0","1","0.00%","5020","5","","False","3","1950","1","07/17/2015","4077","845200","16.37","False","CAPE","5020",
"13-140","191 MAIN ST","12","5","3","0","0","3","0.00%","3010","1","","False","6","1890","425000","08/01/1995","3650","1203300","16.76","False","ANTIQUE","3010",
"13-141","195 MAIN ST","6","3","1","0","0","2","0.00%","3010","1","","False","4","1840","649000","10/24/2016","2039","794200","10.94","False","ANTIQUE","3010",
"13-142","58 ARBOR ST","9","5","3","0","1","0","0.00%","3000","6","","False","4","1998","950000","01/14/2014","3739","1248000","5.42","False","COLONIAL","3000",
"13-143","185 MAIN ST","10","4","3","0","0","4","0.00%","3010","1","","False","4","1680","446000","06/10/2015","3075","942600","7.37","False","ANTIQUE","3010",
"13-15","63 ARBOR ST","8","4","2","0","1","1","0.00%","3000","6","","False","4","1970","0","02/01/1968","2665","919100","18.47","False","COLONIAL","3000",
"13-16","2 JUNIPER STREET","7","3","1","1","0","1","0.00%","5020","5","","False","3","1950","682000","08/12/2022","1681","667000","-1.55","False","CAPE","5020",
"13-17","55 ARBOR ST","8","4","3","0","0","2","0.00%","3000","9","","False","4","1953","565000","02/25/2010","3060","960200","4.53","False","CONTEMPORY","3000",
